状态,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,ID,[,],else,float,if,int,num,return,void,while,{,},#,<A>,<M>,<N>,<Program>,<S>,<if语句>,<relop>,<return语句>,<while语句>,<内部变量声明>,<内部声明>,<内部数组声明>,<函数声明>,<加法表达式>,<参数>,<参数列表>,<变量声明>,<因子>,<声明>,<声明串>,<声明类型>,<实参列表>,<形参>,<数组>,<表达式>,<语句>,<语句串>,<语句块>,<赋值语句>,<逗号和参数>,<项>,
134,r49, ,r49,s172,r49,r49,r49,s173, ,r49,r49, ,r49,r49,r49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
135,r52, ,r52,r52,r52,r52,r52,r52, ,r52,r52, ,r52,r52,r52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
136, ,s84, , , , , , , , , , , , , ,s85, , , , , , ,s83, , , , , , , , , , , , , , , , , , , ,80, , , ,82, , , , , , ,174, , , , , ,81,
137,r54,s175,r54,r54,r54,r54,r54,r54, ,r54,r54, ,r54,r54,r54, ,s177, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,176, , , , , , , ,
138, , , , , , , , , , , , , , , , , ,s178, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
139, , , , , , , , , , , , , , , ,r32, , , , ,r32, , ,r32, ,r32, ,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
140, , , , , , , , ,s179, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
141, , , , , , , , , , , ,r61, , , , ,s73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,180, , , , , , , ,
142, , , , , , , , ,r61, , , , , , , ,s77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,181, , , , , , , ,
143, , , , , , , , , , , , , , , , , , , , , , , , , , ,s183, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,182, , , ,
144, , ,r39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
145, , ,r46, ,s184, ,s185, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
146, , ,r49,s186,r49, ,r49,s187, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
147, , ,r52,r52,r52, ,r52,r52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
148, ,s84, , , , , , , , , , , , , ,s85, , , , , , ,s83, , , , , , , , , , , , , , , , , , , ,80, , , ,82, , , , , , ,188, , , , , ,81,
149, ,s189,r54,r54,r54, ,r54,r54, , , , , , , , ,s191, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,190, , , , , , , ,
150,r47, ,r47, , , , , , ,r47,r47, ,r47,r47,r47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
151,r46, ,r46, ,s109, ,s110, , ,r46,r46, ,r46,r46,r46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
152,r48, ,r48, , , , , , ,r48,r48, ,r48,r48,r48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
153,r50, ,r50, ,r50, ,r50, , ,r50,r50, ,r50,r50,r50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
154,r51, ,r51, ,r51, ,r51, , ,r51,r51, ,r51,r51,r51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
155,r53, ,r53,r53,r53, ,r53,r53, ,r53,r53, ,r53,r53,r53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
156, , ,s192, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
157, , , , , , , , , , , , , , , , , ,s193, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
158, , , , , , , , , , , , , , , , , , , , , , , , , , ,r9, , ,194, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
159, ,s122, , , , , , , , , , , , , ,s123, , , , , , ,s121, , , , , , , , , , , , , , , , , , , ,195, , , ,120, , , , , , , , , , , , ,119,
160, ,s122, , , , , , , , , , , , , ,s123, , , , , , ,s121, , , , , , , , , , , , , , , , , , , ,196, , , ,120, , , , , , , , , , , , ,119,
161, ,s122, , , , , , , , , , , , , ,s123, , , , , , ,s121, , , , , , , , , , , , , , , , , , , , , , , ,120, , , , , , , , , , , , ,197,
162, ,s122, , , , , , , , , , , , , ,s123, , , , , , ,s121, , , , , , , , , , , , , , , , , , , , , , , ,120, , , , , , , , , , , , ,198,
163, , ,s199, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
164, ,s136,r58, , , , , , , , , , , , ,s137, , , , , , ,s135, , , , , , , , , , , , , , , , , , , ,132, , , ,134, , , ,200, , ,131, , , , , ,133,
165, , , ,r64,r64, ,r64,r64,r64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
166, , , , , , , , , , , , , , , , , , , , , , ,s201, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
